type de pruning;taille de l'échiquier;nom du timer;durée en temps CPU;
FWD_CHKING;1;BranchAndPrune(1,FWD_CHKING);21;
FWD_CHKING;2;BranchAndPrune(2,FWD_CHKING);19;
FWD_CHKING;3;BranchAndPrune(3,FWD_CHKING);38;
FWD_CHKING;4;BranchAndPrune(4,FWD_CHKING);156;
FWD_CHKING;5;BranchAndPrune(5,FWD_CHKING);659;
FWD_CHKING;6;BranchAndPrune(6,FWD_CHKING);2265;
FWD_CHKING;7;BranchAndPrune(7,FWD_CHKING);6115;
FWD_CHKING;8;BranchAndPrune(8,FWD_CHKING);3147308;
FWD_CHKING;9;BranchAndPrune(9,FWD_CHKING);4253516;
BORN_CONS;1;BranchAndPrune(1,BORN_CONS);3;
BORN_CONS;2;BranchAndPrune(2,BORN_CONS);22;
BORN_CONS;3;BranchAndPrune(3,BORN_CONS);50;
BORN_CONS;4;BranchAndPrune(4,BORN_CONS);337;
BORN_CONS;5;BranchAndPrune(5,BORN_CONS);2245;
BORN_CONS;6;BranchAndPrune(6,BORN_CONS);12575;
BORN_CONS;7;BranchAndPrune(7,BORN_CONS);76711;
BORN_CONS;8;BranchAndPrune(8,BORN_CONS);486517;
BORN_CONS;9;BranchAndPrune(9,BORN_CONS);3253660;
ARC_CONS;1;BranchAndPrune(1,ARC_CONS);3;
ARC_CONS;2;BranchAndPrune(2,ARC_CONS);10;
ARC_CONS;3;BranchAndPrune(3,ARC_CONS);23;
ARC_CONS;4;BranchAndPrune(4,ARC_CONS);103;
ARC_CONS;5;BranchAndPrune(5,ARC_CONS);503;
ARC_CONS;6;BranchAndPrune(6,ARC_CONS);1815;
ARC_CONS;7;BranchAndPrune(7,ARC_CONS);8660;
ARC_CONS;8;BranchAndPrune(8,ARC_CONS);3936967;
ARC_CONS;9;BranchAndPrune(9,ARC_CONS);5149425;

